ip,port,username,password,protocols,ping,detected,organisation,country,isocode,latitude,longitude,asn,connections,uptime,dateAdded,lastTested,lastSuccess,detection,provider
1.179.151.165,31948,,,"[ProtocolDataType(type=socks4, port=31948, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.050800323486328,100.16290283203125,AS131293,"PerformanceConnectData(aws_NA=EndpointServerData(ping=955, connections=ConnectionAttempts(success=821, fail=6456), uptime=11.0%), ora_UK=EndpointServerData(ping=785, connections=ConnectionAttempts(success=587, fail=6711), uptime=8.0%), ora_JP=EndpointServerData(ping=601, connections=ConnectionAttempts(success=903, fail=6402), uptime=12.0%), ms_HK=EndpointServerData(ping=513, connections=ConnectionAttempts(success=437, fail=6833), uptime=6.0%))",,"2022-11-02 00:03:49.0","2022-11-02 00:06:08.0",,,
1.221.173.148,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,Boranet,"South Korea",KR,37.48970031738281,127.06390380859375,AS3786,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1030, connections=ConnectionAttempts(success=765, fail=6551), uptime=10.0%), ora_UK=EndpointServerData(ping=1921, connections=ConnectionAttempts(success=525, fail=6800), uptime=7.0%), ora_JP=EndpointServerData(ping=679, connections=ConnectionAttempts(success=885, fail=6448), uptime=12.0%), ms_HK=EndpointServerData(ping=933, connections=ConnectionAttempts(success=475, fail=6865), uptime=6.0%))",,"2022-11-02 00:07:51.0","2022-11-02 00:07:53.0",,,
2.135.223.134,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,true,Legion,Kazakhstan,KZ,50.296199798583984,57.176300048828125,AS9198,"PerformanceConnectData(aws_NA=EndpointServerData(ping=584, connections=ConnectionAttempts(success=511, fail=6780), uptime=7.0%), ora_UK=EndpointServerData(ping=440, connections=ConnectionAttempts(success=392, fail=6893), uptime=5.0%), ora_JP=EndpointServerData(ping=798, connections=ConnectionAttempts(success=599, fail=6686), uptime=8.0%), ms_HK=EndpointServerData(ping=6868, connections=ConnectionAttempts(success=331, fail=6949), uptime=4.0%))",,"2022-11-02 00:05:54.0","2022-11-02 00:07:52.0",,,
2.139.162.80,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,,Spain,ES,42.04629898071289,2.2702999114990234,AS3352,"PerformanceConnectData(aws_NA=EndpointServerData(ping=318, connections=ConnectionAttempts(success=786, fail=6524), uptime=10.0%), ora_UK=EndpointServerData(ping=175, connections=ConnectionAttempts(success=533, fail=6765), uptime=7.0%), ora_JP=EndpointServerData(ping=627, connections=ConnectionAttempts(success=867, fail=6431), uptime=11.0%), ms_HK=EndpointServerData(ping=579, connections=ConnectionAttempts(success=463, fail=6806), uptime=6.0%))",,"2022-11-02 00:00:55.0","2022-11-02 00:03:53.0",,,
2.184.4.70,6565,,,"[ProtocolDataType(type=http, port=6565, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=6565, tls=true, autoRead=[false])]",,true,"Foolad Iranian Company",Iran,IR,35.698001861572266,51.4114990234375,AS58224,"PerformanceConnectData(aws_NA=EndpointServerData(ping=346, connections=ConnectionAttempts(success=221, fail=14267), uptime=1.0%), ora_UK=EndpointServerData(ping=2716, connections=ConnectionAttempts(success=173, fail=14335), uptime=1.0%), ora_JP=EndpointServerData(ping=3409, connections=ConnectionAttempts(success=256, fail=14234), uptime=1.0%), ms_HK=EndpointServerData(ping=3061, connections=ConnectionAttempts(success=253, fail=14254), uptime=1.0%))",,"2022-11-01 23:58:36.0","2022-11-02 00:07:38.0",,,
3.20.236.208,49205,,,"[ProtocolDataType(type=https, port=49205, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=49205, tls=true, autoRead=[false])]",,true,"Amazon Technologies Inc","United States",US,39.962501525878906,-83.006103515625,AS16509,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1411, connections=ConnectionAttempts(success=7962, fail=6666), uptime=54.0%), ora_UK=EndpointServerData(ping=425, connections=ConnectionAttempts(success=6392, fail=8236), uptime=43.0%), ora_JP=EndpointServerData(ping=1227, connections=ConnectionAttempts(success=8112, fail=6512), uptime=55.0%), ms_HK=EndpointServerData(ping=1104, connections=ConnectionAttempts(success=8163, fail=6472), uptime=55.0%))",,"2022-11-02 00:02:18.0","2022-11-02 00:07:38.0",,,
3.131.207.170,13343,,,"[ProtocolDataType(type=socks5, port=13343, tls=false, autoRead=[false]), ProtocolDataType(type=socks5, port=15610, tls=false, autoRead=[false]), ProtocolDataType(type=socks4, port=10378, tls=true, autoRead=[false]), ProtocolDataType(type=socks5, port=10378, tls=true, autoRead=[false]), ProtocolDataType(type=socks4, port=13343, tls=false, autoRead=[false])]",,true,"Amazon Technologies Inc","United States",US,39.962501525878906,-83.006103515625,AS16509,"PerformanceConnectData(aws_NA=EndpointServerData(ping=488, connections=ConnectionAttempts(success=14422, fail=14556), uptime=49.0%), ora_UK=EndpointServerData(ping=484, connections=ConnectionAttempts(success=14472, fail=14532), uptime=49.0%), ora_JP=EndpointServerData(ping=486, connections=ConnectionAttempts(success=14447, fail=14562), uptime=49.0%), ms_HK=EndpointServerData(ping=418, connections=ConnectionAttempts(success=14420, fail=14559), uptime=49.0%))",,"2022-11-02 00:06:47.0","2022-11-02 00:07:52.0",,,
3.141.13.98,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,true,"Amazon Technologies Inc","United States",US,39.962501525878906,-83.006103515625,AS16509,"PerformanceConnectData(aws_NA=EndpointServerData(ping=193, connections=ConnectionAttempts(success=4631, fail=2707), uptime=63.0%), ora_UK=EndpointServerData(ping=1556, connections=ConnectionAttempts(success=3819, fail=3525), uptime=52.0%), ora_JP=EndpointServerData(ping=562, connections=ConnectionAttempts(success=5050, fail=2290), uptime=68.0%), ms_HK=EndpointServerData(ping=612, connections=ConnectionAttempts(success=3325, fail=4002), uptime=45.0%))",,"2022-11-02 00:05:26.0","2022-11-02 00:07:52.0",,,
3.215.177.148,49205,,,"[ProtocolDataType(type=https, port=49205, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=49205, tls=true, autoRead=[false])]",,true,"Amazon Data Services NoVa","United States",US,39.04690170288086,-77.49030303955078,AS14618,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2275, connections=ConnectionAttempts(success=7450, fail=7177), uptime=50.0%), ora_UK=EndpointServerData(ping=6645, connections=ConnectionAttempts(success=5863, fail=8760), uptime=40.0%), ora_JP=EndpointServerData(ping=2565, connections=ConnectionAttempts(success=7324, fail=7303), uptime=50.0%), ms_HK=EndpointServerData(ping=1992, connections=ConnectionAttempts(success=7438, fail=7191), uptime=50.0%))",,"2022-11-02 00:03:43.0","2022-11-02 00:07:38.0",,,
5.58.47.25,3629,,,"[ProtocolDataType(type=socks4, port=3629, tls=true, autoRead=[false])]",,true,"Lanet Network Ltd",Ukraine,UA,49.554298400878906,25.60810089111328,AS16223,"PerformanceConnectData(aws_NA=EndpointServerData(ping=439, connections=ConnectionAttempts(success=1025, fail=6169), uptime=14.0%), ora_UK=EndpointServerData(ping=185, connections=ConnectionAttempts(success=644, fail=6577), uptime=8.0%), ora_JP=EndpointServerData(ping=671, connections=ConnectionAttempts(success=1203, fail=6034), uptime=16.0%), ms_HK=EndpointServerData(ping=518, connections=ConnectionAttempts(success=578, fail=6639), uptime=8.0%))",,"2022-11-01 23:59:21.0","2022-11-02 00:07:52.0",,,
5.58.58.209,8080,,,"[ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"Lanet Network Ltd",Ukraine,UA,49.55459976196289,25.584199905395508,AS16223,"PerformanceConnectData(aws_NA=EndpointServerData(ping=5346, connections=ConnectionAttempts(success=441, fail=13996), uptime=3.0%), ora_UK=EndpointServerData(ping=551, connections=ConnectionAttempts(success=193, fail=14227), uptime=1.0%), ora_JP=EndpointServerData(ping=4586, connections=ConnectionAttempts(success=440, fail=13939), uptime=3.0%), ms_HK=EndpointServerData(ping=5491, connections=ConnectionAttempts(success=440, fail=13987), uptime=3.0%))",,"2022-11-02 00:04:12.0","2022-11-02 00:08:07.0",,,
5.83.94.8,4153,,,"[ProtocolDataType(type=socks4, port=4153, tls=true, autoRead=[false])]",,true,Onlycable,Spain,ES,37.405601501464844,-1.5772000551223755,AS29119,"PerformanceConnectData(aws_NA=EndpointServerData(ping=796, connections=ConnectionAttempts(success=570, fail=6635), uptime=7.0%), ora_UK=EndpointServerData(ping=5417, connections=ConnectionAttempts(success=435, fail=6809), uptime=6.0%), ora_JP=EndpointServerData(ping=2239, connections=ConnectionAttempts(success=711, fail=6516), uptime=9.0%), ms_HK=EndpointServerData(ping=3312, connections=ConnectionAttempts(success=354, fail=6865), uptime=4.0%))",,"2022-11-01 23:57:40.0","2022-11-02 00:07:08.0",,,
5.134.221.58,41890,,,"[ProtocolDataType(type=http, port=41890, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=41890, tls=true, autoRead=[false])]",,false,"Wiland Ltd",Russia,RU,55.74829864501953,37.61709976196289,AS21367,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1292, connections=ConnectionAttempts(success=355, fail=11713), uptime=2.0%), ora_UK=EndpointServerData(ping=9472, connections=ConnectionAttempts(success=160, fail=11930), uptime=1.0%), ora_JP=EndpointServerData(ping=1295, connections=ConnectionAttempts(success=358, fail=11712), uptime=2.0%), ms_HK=EndpointServerData(ping=3532, connections=ConnectionAttempts(success=326, fail=11786), uptime=2.0%))",,"2022-11-02 00:05:29.0","2022-11-02 00:07:38.0",,,
5.153.234.91,3128,,,"[ProtocolDataType(type=https, port=3128, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=3128, tls=true, autoRead=[false])]",,true,Sweden,Sweden,SE,59.32870101928711,18.071699142456055,AS57858,"PerformanceConnectData(aws_NA=EndpointServerData(ping=449, connections=ConnectionAttempts(success=403, fail=5064), uptime=7.0%), ora_UK=EndpointServerData(ping=1427, connections=ConnectionAttempts(success=311, fail=5163), uptime=5.0%), ora_JP=EndpointServerData(ping=592, connections=ConnectionAttempts(success=634, fail=4819), uptime=11.0%), ms_HK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=5464), uptime=0%))",,"2022-11-02 00:03:12.0","2022-11-02 00:06:23.0",,,
5.178.204.235,2082,,,"[ProtocolDataType(type=socks4, port=2082, tls=true, autoRead=[false])]",,true,,Georgia,GE,41.71630096435547,44.83869934082031,AS16010,"PerformanceConnectData(aws_NA=EndpointServerData(ping=483, connections=ConnectionAttempts(success=845, fail=6452), uptime=11.0%), ora_UK=EndpointServerData(ping=317, connections=ConnectionAttempts(success=584, fail=6715), uptime=8.0%), ora_JP=EndpointServerData(ping=806, connections=ConnectionAttempts(success=912, fail=6413), uptime=12.0%), ms_HK=EndpointServerData(ping=647, connections=ConnectionAttempts(success=529, fail=6781), uptime=7.0%))",,"2022-11-01 23:54:21.0","2022-11-02 00:07:52.0",,,
5.178.217.227,31019,,,"[ProtocolDataType(type=socks4, port=31019, tls=true, autoRead=[false])]",,true,,Georgia,GE,41.71630096435547,44.83869934082031,AS16010,"PerformanceConnectData(aws_NA=EndpointServerData(ping=481, connections=ConnectionAttempts(success=1293, fail=6008), uptime=17.0%), ora_UK=EndpointServerData(ping=324, connections=ConnectionAttempts(success=825, fail=6474), uptime=11.0%), ora_JP=EndpointServerData(ping=821, connections=ConnectionAttempts(success=1438, fail=5862), uptime=19.0%), ms_HK=EndpointServerData(ping=668, connections=ConnectionAttempts(success=706, fail=6582), uptime=9.0%))",,"2022-11-01 23:59:26.0","2022-11-02 00:04:53.0",,,
5.180.130.90,80,,,"[ProtocolDataType(type=https, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=443, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,false,"TOV Golden Lains",Ukraine,UA,46.959800720214844,35.04999923706055,AS43633,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2033, connections=ConnectionAttempts(success=170, fail=34855), uptime=0.0%), ora_UK=EndpointServerData(ping=3396, connections=ConnectionAttempts(success=21, fail=34955), uptime=0.0%), ora_JP=EndpointServerData(ping=11655, connections=ConnectionAttempts(success=39, fail=34949), uptime=0.0%), ms_HK=EndpointServerData(ping=2203, connections=ConnectionAttempts(success=588, fail=34493), uptime=1.0%))",,"2022-11-02 00:00:48.0","2022-11-02 00:08:07.0",,,
5.180.130.91,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=443, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=80, tls=true, autoRead=[false])]",,false,"TOV Golden Lains",Ukraine,UA,46.959800720214844,35.04999923706055,AS43633,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2960, connections=ConnectionAttempts(success=146, fail=35488), uptime=0.0%), ora_UK=EndpointServerData(ping=2999, connections=ConnectionAttempts(success=24, fail=35563), uptime=0.0%), ora_JP=EndpointServerData(ping=4352, connections=ConnectionAttempts(success=39, fail=35618), uptime=0.0%), ms_HK=EndpointServerData(ping=2232, connections=ConnectionAttempts(success=642, fail=34935), uptime=1.0%))",,"2022-11-02 00:02:44.0","2022-11-02 00:07:52.0",,,
5.188.181.170,3080,,,"[ProtocolDataType(type=socks5, port=3080, tls=true, autoRead=[false])]",,true,"Melbikomas UAB",Spain,ES,40.41630172729492,-3.6933999061584473,AS56630,"PerformanceConnectData(aws_NA=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=134), uptime=0%), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=133), uptime=0%), ora_JP=EndpointServerData(ping=1472, connections=ConnectionAttempts(success=111, fail=21), uptime=84.0%), ms_HK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=134), uptime=0%))",,"2022-11-01 23:58:56.0","2022-11-02 00:04:23.0",,,
5.226.125.10,10801,,,"[ProtocolDataType(type=socks4, port=10801, tls=true, autoRead=[false])]",,true,"Patrol Group",Poland,PL,52.2484016418457,21.002599716186523,AS12741,"PerformanceConnectData(aws_NA=EndpointServerData(ping=332, connections=ConnectionAttempts(success=826, fail=6477), uptime=11.0%), ora_UK=EndpointServerData(ping=169, connections=ConnectionAttempts(success=536, fail=6759), uptime=7.0%), ora_JP=EndpointServerData(ping=569, connections=ConnectionAttempts(success=891, fail=6422), uptime=12.0%), ms_HK=EndpointServerData(ping=488, connections=ConnectionAttempts(success=463, fail=6857), uptime=6.0%))",,"2022-11-02 00:02:02.0","2022-11-02 00:07:52.0",,,
8.39.228.193,39593,,,"[ProtocolDataType(type=socks4, port=39593, tls=true, autoRead=[false])]",,false,"Level 3, LLC","United States",US,39.96699905395508,-105.4843978881836,AS3356,"PerformanceConnectData(aws_NA=EndpointServerData(ping=428, connections=ConnectionAttempts(success=167, fail=7088), uptime=2.0%), ora_UK=EndpointServerData(ping=560, connections=ConnectionAttempts(success=101, fail=7142), uptime=1.0%), ora_JP=EndpointServerData(ping=569, connections=ConnectionAttempts(success=190, fail=7053), uptime=2.0%), ms_HK=EndpointServerData(ping=652, connections=ConnectionAttempts(success=101, fail=7147), uptime=1.0%))",,"2022-11-01 23:54:15.0","2022-11-02 00:07:23.0",,,
8.42.68.29,39593,,,"[ProtocolDataType(type=socks4, port=39593, tls=true, autoRead=[false])]",,false,"Level 3, LLC","United States",US,40.014198303222656,-105.2853012084961,AS3356,"PerformanceConnectData(aws_NA=EndpointServerData(ping=419, connections=ConnectionAttempts(success=172, fail=7054), uptime=2.0%), ora_UK=EndpointServerData(ping=553, connections=ConnectionAttempts(success=129, fail=7106), uptime=1.0%), ora_JP=EndpointServerData(ping=564, connections=ConnectionAttempts(success=164, fail=7059), uptime=2.0%), ms_HK=EndpointServerData(ping=653, connections=ConnectionAttempts(success=84, fail=7156), uptime=1.0%))",,"2022-11-01 23:58:08.0","2022-11-02 00:03:38.0",,,
8.42.68.93,39593,,,"[ProtocolDataType(type=socks4, port=39593, tls=true, autoRead=[false])]",,true,"Level 3, LLC","United States",US,39.82320022583008,-105.28250122070312,AS3356,"PerformanceConnectData(aws_NA=EndpointServerData(ping=450, connections=ConnectionAttempts(success=436, fail=6765), uptime=6.0%), ora_UK=EndpointServerData(ping=573, connections=ConnectionAttempts(success=324, fail=6876), uptime=4.0%), ora_JP=EndpointServerData(ping=566, connections=ConnectionAttempts(success=485, fail=6733), uptime=6.0%), ms_HK=EndpointServerData(ping=685, connections=ConnectionAttempts(success=294, fail=6910), uptime=4.0%))",,"2022-11-02 00:06:35.0","2022-11-02 00:08:07.0",,,
